state_id,h_nd,h_d,policy_type
90090,7,4,optimal
103931,11,6,optimal
34707,15,11,optimal
97975,11,8,optimal
34363,14,8,optimal
103814,4,2,optimal
68247,11,6,optimal
91126,5,4,optimal
101280,14,10,optimal
70121,13,9,optimal
72555,11,8,optimal
25861,11,7,optimal
100975,18,12,optimal
96436,14,10,optimal
33313,13,8,optimal
64763,8,6,optimal
102904,8,5,optimal
89919,14,9,optimal
83472,14,10,optimal
82793,11,7,optimal
95627,11,7,optimal
76010,11,8,optimal
97587,12,9,optimal
86780,14,8,optimal
74398,8,5,optimal
78442,15,9,optimal
10926,6,3,optimal
108994,5,3,optimal
99733,11,8,optimal
81085,8,6,optimal
102260,10,7,optimal
92543,1,1,optimal
98642,7,4,optimal
97513,11,8,optimal
99458,4,3,optimal
52105,1,1,optimal
70115,13,9,optimal
115365,9,5,optimal
71444,11,6,optimal
54455,6,3,optimal
97485,11,8,optimal
50530,8,5,optimal
38811,2,1,optimal
3251,3,1,optimal
100115,14,9,optimal
86699,11,7,optimal
98633,8,4,optimal
97381,12,9,optimal
69010,8,5,optimal
28074,4,3,optimal
91631,5,2,optimal
85958,14,10,optimal
78597,2,1,optimal
87569,10,6,optimal
33961,1,1,optimal
106192,9,7,optimal
42563,6,3,optimal
75300,2,1,optimal
102726,10,6,optimal
33965,2,1,optimal
80819,8,5,optimal
6310,2,1,optimal
106044,12,7,optimal
102815,11,7,optimal
97378,11,8,optimal
100905,17,13,optimal
86615,11,6,optimal
47279,14,10,optimal
6952,2,1,optimal
91262,5,3,optimal
18328,4,3,optimal
103901,1,1,optimal
73431,14,9,optimal
108467,9,5,optimal
74382,8,5,optimal
84279,14,10,optimal
86688,12,7,optimal
104046,8,6,optimal
107691,15,10,optimal
102718,8,5,optimal
84382,8,5,optimal
24848,8,5,optimal
89341,15,9,optimal
33379,2,1,optimal
94068,11,7,optimal
80940,12,7,optimal
92072,12,7,optimal
98655,10,6,optimal
111202,12,7,optimal
110281,8,5,optimal
48253,14,10,optimal
69957,7,5,optimal
98654,11,7,optimal
89254,14,9,optimal
102972,11,8,optimal
81714,10,7,optimal
102991,10,7,optimal
90395,9,7,optimal
84747,16,10,optimal
54992,11,8,optimal
