state_id,h_nd,h_d,policy_type
59858,12,7,optimal
101194,13,8,optimal
93621,14,8,optimal
63425,13,7,optimal
71644,10,7,optimal
103816,13,10,optimal
93520,13,9,optimal
37371,13,8,optimal
43649,8,6,optimal
84451,13,8,optimal
93255,11,6,optimal
62673,6,4,optimal
90582,13,7,optimal
48431,6,4,optimal
74420,13,8,optimal
65677,9,6,optimal
83705,10,6,optimal
95966,9,6,optimal
84479,13,8,optimal
106151,8,5,optimal
77274,14,8,optimal
82039,10,7,optimal
74217,7,4,optimal
74225,7,3,optimal
67011,4,2,optimal
89183,7,4,optimal
110049,15,8,optimal
87210,12,8,optimal
39797,13,7,optimal
6476,2,1,optimal
72919,3,2,optimal
55467,13,8,optimal
91367,11,6,optimal
72741,13,7,optimal
102157,11,6,optimal
101192,13,8,optimal
107891,11,7,optimal
81842,10,6,optimal
97416,8,5,optimal
88376,9,6,optimal
37242,13,8,optimal
9351,1,1,optimal
80304,10,5,optimal
76395,10,6,optimal
71709,1,1,optimal
26921,2,1,optimal
100264,10,6,optimal
67137,1,1,optimal
100543,10,6,optimal
61329,6,4,optimal
27653,2,1,optimal
114123,14,8,optimal
108291,7,5,optimal
81599,10,7,optimal
60533,2,1,optimal
95741,11,8,optimal
95744,9,6,optimal
33821,2,1,optimal
93597,14,8,optimal
33832,1,1,optimal
15317,2,1,optimal
104036,10,6,optimal
92942,10,6,optimal
15500,3,2,optimal
111340,14,10,optimal
42724,10,7,optimal
33834,2,1,optimal
7724,2,1,optimal
90920,13,7,optimal
91880,10,6,optimal
105202,10,6,optimal
109630,13,8,optimal
24505,2,1,optimal
109924,10,6,optimal
89448,11,6,optimal
91725,10,5,optimal
71558,11,7,optimal
73906,10,7,optimal
101237,12,8,optimal
42765,2,1,optimal
89471,10,6,optimal
86023,13,7,optimal
113111,11,7,optimal
105601,10,7,optimal
107852,14,7,optimal
71721,6,4,optimal
81581,10,7,optimal
33822,1,1,optimal
28333,14,9,optimal
9361,2,1,optimal
86562,7,4,optimal
59680,6,4,optimal
110126,13,7,optimal
88841,10,6,optimal
24469,1,1,optimal
75890,14,10,optimal
89777,1,1,optimal
92938,7,4,optimal
10949,12,8,optimal
89149,10,6,optimal
