state_id,h_nd,h_d,policy_type
62845,12,8,optimal
60676,12,8,optimal
62989,10,5,optimal
96608,11,7,optimal
6652,13,9,optimal
64647,13,9,optimal
92770,9,6,optimal
96570,7,4,optimal
92742,11,8,optimal
69602,6,4,optimal
52485,13,9,optimal
80828,12,7,optimal
82313,10,6,optimal
71647,10,6,optimal
50671,13,8,optimal
35974,14,8,optimal
52074,11,6,optimal
97526,11,6,optimal
93214,10,6,optimal
93601,7,4,optimal
85535,12,8,optimal
89905,10,6,optimal
83707,12,8,optimal
92789,10,7,optimal
97372,8,5,optimal
81273,13,9,optimal
114430,10,6,optimal
66960,1,1,optimal
71825,10,6,optimal
64309,13,8,optimal
85740,14,8,optimal
106179,9,5,optimal
9993,1,1,optimal
103526,10,6,optimal
75648,12,7,optimal
110949,7,4,optimal
101148,14,9,optimal
38864,1,1,optimal
45947,2,1,optimal
2577,2,1,optimal
63224,13,8,optimal
96101,13,8,optimal
38851,1,1,optimal
54525,10,6,optimal
26215,8,5,optimal
98266,7,4,optimal
24318,2,1,optimal
77358,10,7,optimal
33924,9,6,optimal
113024,10,6,optimal
38850,2,1,optimal
47934,7,4,optimal
16076,2,1,optimal
37119,10,5,optimal
47943,2,1,optimal
63938,2,1,optimal
7599,1,1,optimal
73356,7,4,optimal
46167,7,4,optimal
16100,1,1,optimal
24317,3,2,optimal
66959,2,1,optimal
78107,1,1,optimal
92090,10,7,optimal
94086,13,9,optimal
81433,10,6,optimal
21995,2,1,optimal
78597,13,9,optimal
98318,9,6,optimal
72873,7,4,optimal
86635,7,4,optimal
92951,12,8,optimal
86931,11,7,optimal
80094,13,9,optimal
103821,12,8,optimal
85557,12,8,optimal
9999,2,1,optimal
102640,10,7,optimal
69204,9,6,optimal
91230,7,3,optimal
7347,2,1,optimal
101608,13,8,optimal
91121,9,6,optimal
87791,7,4,optimal
109096,13,8,optimal
87300,10,6,optimal
75051,10,5,optimal
108943,10,8,optimal
92516,14,8,optimal
57554,14,8,optimal
99026,10,7,optimal
105410,10,7,optimal
58201,4,2,optimal
67389,10,8,optimal
108617,11,6,optimal
87303,12,7,optimal
99256,10,7,optimal
108697,10,6,optimal
64825,12,8,optimal
94062,10,7,optimal
