state_id,h_nd,h_d,policy_type
108819,8,4,optimal
100666,12,7,optimal
62949,13,8,optimal
92814,11,6,optimal
58711,11,7,optimal
68461,12,6,optimal
94727,8,5,optimal
87384,12,7,optimal
99134,8,5,optimal
55827,9,5,optimal
38126,12,8,optimal
78831,4,3,optimal
91940,8,5,optimal
103131,11,7,optimal
89216,12,7,optimal
92756,11,7,optimal
58026,8,5,optimal
68864,13,7,optimal
83920,9,6,optimal
83889,9,6,optimal
68907,9,5,optimal
5832,11,7,optimal
57990,12,6,optimal
46629,9,5,optimal
100790,12,7,optimal
97966,9,6,optimal
102588,7,4,optimal
51040,1,1,optimal
74638,12,7,optimal
108276,9,6,optimal
101760,9,5,optimal
21907,5,3,optimal
68797,9,5,optimal
22819,1,1,optimal
100204,9,5,optimal
22507,2,1,optimal
55942,2,1,optimal
80708,9,5,optimal
101737,11,8,optimal
102632,8,5,optimal
101756,9,5,optimal
98176,8,5,optimal
96897,12,7,optimal
94954,9,5,optimal
71216,11,7,optimal
30289,2,1,optimal
17888,2,1,optimal
94880,8,5,optimal
15513,2,1,optimal
50647,1,1,optimal
86138,12,7,optimal
9229,2,1,optimal
97665,9,5,optimal
53475,12,7,optimal
27260,2,1,optimal
77786,9,5,optimal
10457,2,1,optimal
91540,9,5,optimal
7080,1,1,optimal
68012,2,1,optimal
76265,8,5,optimal
42847,2,1,optimal
101690,5,4,optimal
15522,1,1,optimal
97767,5,3,optimal
57927,8,5,optimal
97917,9,5,optimal
109983,13,7,optimal
18913,2,1,optimal
62870,13,7,optimal
6515,2,1,optimal
26371,2,1,optimal
30285,2,1,optimal
111846,9,6,optimal
90063,8,6,optimal
66936,13,7,optimal
106718,12,7,optimal
93841,9,6,optimal
87277,12,7,optimal
113197,9,5,optimal
15516,1,1,optimal
70036,12,7,optimal
66995,12,8,optimal
79682,9,5,optimal
64354,8,5,optimal
109815,12,8,optimal
18787,9,5,optimal
97971,8,5,optimal
47781,11,7,optimal
62465,15,9,optimal
93275,9,7,optimal
109270,9,6,optimal
84665,9,6,optimal
82759,11,7,optimal
90643,9,5,optimal
85282,12,7,optimal
108055,12,7,optimal
100742,12,7,optimal
47881,8,5,optimal
55849,9,5,optimal
