state_id,h_nd,h_d,policy_type
8268,9,5,optimal
56690,9,7,optimal
83575,11,6,optimal
76719,11,7,optimal
100947,9,5,optimal
92376,8,5,optimal
111108,9,5,optimal
83006,9,5,optimal
106380,13,7,optimal
92646,10,7,optimal
64474,13,8,optimal
18600,11,7,optimal
84772,12,8,optimal
70702,5,3,optimal
41456,11,8,optimal
81393,9,4,optimal
98945,12,7,optimal
76356,12,7,optimal
112056,12,7,optimal
86519,6,3,optimal
75635,9,5,optimal
113032,9,5,optimal
74338,10,6,optimal
90156,12,7,optimal
88568,12,8,optimal
85274,12,8,optimal
29838,12,6,optimal
64003,11,7,optimal
68053,11,7,optimal
57027,2,1,optimal
58542,9,7,optimal
68416,9,4,optimal
80576,11,7,optimal
38005,2,1,optimal
5474,1,1,optimal
110826,9,5,optimal
31664,2,1,optimal
59941,8,5,optimal
47305,2,1,optimal
106121,12,8,optimal
27881,1,1,optimal
72620,12,7,optimal
31671,2,1,optimal
11523,1,1,optimal
11521,2,1,optimal
44965,2,1,optimal
7757,2,1,optimal
114293,1,1,optimal
104582,12,9,optimal
112358,12,7,optimal
71424,9,6,optimal
104973,9,5,optimal
90399,9,5,optimal
35445,2,1,optimal
70351,9,5,optimal
20607,2,1,optimal
15503,11,7,optimal
16213,2,1,optimal
27890,1,1,optimal
110026,6,4,optimal
86543,9,5,optimal
35650,9,5,optimal
81348,9,5,optimal
59182,12,8,optimal
92660,8,5,optimal
83281,9,5,optimal
81391,10,5,optimal
88995,11,7,optimal
96677,12,7,optimal
82122,9,5,optimal
14116,1,1,optimal
62420,5,3,optimal
108052,12,8,optimal
89302,11,7,optimal
86291,9,5,optimal
65031,9,5,optimal
100262,9,5,optimal
102445,13,9,optimal
61291,12,8,optimal
97835,10,6,optimal
12177,2,1,optimal
75612,9,5,optimal
26582,12,6,optimal
97602,9,6,optimal
97886,11,7,optimal
11512,1,1,optimal
80620,11,7,optimal
105113,12,8,optimal
102700,9,5,optimal
107941,9,5,optimal
19302,9,5,optimal
85399,7,5,optimal
88613,12,7,optimal
51101,8,5,optimal
107266,11,8,optimal
32297,2,1,optimal
69532,12,6,optimal
76218,9,6,optimal
95526,9,4,optimal
85312,6,3,optimal
