state_id,h_nd,h_d,policy_type
83074,10,5,optimal
70236,13,9,optimal
90395,7,4,optimal
70528,7,4,optimal
107407,9,6,optimal
85398,10,6,optimal
90525,7,4,optimal
115036,11,6,optimal
99545,10,6,optimal
86304,13,9,optimal
36695,13,9,optimal
112720,10,5,optimal
89086,7,4,optimal
90471,13,8,optimal
95151,7,4,optimal
97674,10,6,optimal
93063,7,3,optimal
111990,15,10,optimal
67403,6,3,optimal
107303,7,5,optimal
92609,13,8,optimal
93243,9,5,optimal
59315,10,6,optimal
106368,13,9,optimal
112736,10,6,optimal
113496,14,9,optimal
57152,9,6,optimal
103164,13,8,optimal
71970,13,8,optimal
40354,2,1,optimal
15096,2,1,optimal
102414,12,8,optimal
67407,1,1,optimal
67422,1,1,optimal
102337,13,9,optimal
105034,11,6,optimal
88574,7,4,optimal
6472,2,1,optimal
98283,9,6,optimal
104420,10,6,optimal
32479,1,1,optimal
67634,2,1,optimal
107627,11,8,optimal
111930,10,6,optimal
26088,14,8,optimal
87309,7,4,optimal
49839,6,4,optimal
15092,2,1,optimal
35562,1,1,optimal
102243,12,9,optimal
57184,9,6,optimal
94187,14,10,optimal
84946,12,7,optimal
78574,6,4,optimal
40353,1,1,optimal
81231,7,4,optimal
76987,9,6,optimal
82788,10,6,optimal
70275,13,8,optimal
11168,4,3,optimal
67406,2,1,optimal
48250,9,6,optimal
12820,2,1,optimal
88532,7,4,optimal
106528,10,7,optimal
13368,4,3,optimal
4499,2,1,optimal
82819,10,6,optimal
45694,10,6,optimal
107992,9,7,optimal
78580,7,6,optimal
108936,14,10,optimal
48519,2,1,optimal
44590,2,1,optimal
18751,2,1,optimal
90602,7,4,optimal
88477,7,3,optimal
104526,10,7,optimal
15099,1,1,optimal
82709,10,6,optimal
42718,6,4,optimal
44660,10,5,optimal
107374,10,7,optimal
92450,11,8,optimal
63049,13,8,optimal
18796,1,1,optimal
90465,12,7,optimal
103832,13,8,optimal
98979,7,3,optimal
84083,9,5,optimal
59800,13,10,optimal
102605,14,10,optimal
88454,7,4,optimal
81788,8,4,optimal
104426,12,9,optimal
44773,11,7,optimal
64434,10,7,optimal
107613,10,7,optimal
88100,7,5,optimal
60666,7,5,optimal
