state_id,h_nd,h_d,policy_type
70610,6,4,optimal
72905,9,7,optimal
99052,10,6,optimal
9125,9,6,optimal
89079,9,6,optimal
112366,10,4,optimal
19772,10,7,optimal
64172,10,7,optimal
78780,12,8,optimal
55567,13,7,optimal
107932,13,8,optimal
51181,6,4,optimal
63235,14,8,optimal
67477,9,6,optimal
98667,11,6,optimal
46835,10,5,optimal
112162,13,8,optimal
106371,11,6,optimal
111395,4,2,optimal
78010,13,9,optimal
11397,12,6,optimal
40468,13,8,optimal
80806,7,4,optimal
44812,9,6,optimal
76407,14,9,optimal
86506,7,5,optimal
110108,14,8,optimal
104320,13,8,optimal
110672,11,9,optimal
115485,2,1,optimal
64028,15,9,optimal
107900,13,9,optimal
103979,12,7,optimal
107990,14,9,optimal
112065,10,6,optimal
108957,10,6,optimal
102508,11,6,optimal
58062,6,4,optimal
79228,13,8,optimal
81728,9,5,optimal
84551,9,6,optimal
87989,1,1,optimal
14708,2,1,optimal
103234,7,5,optimal
42914,1,1,optimal
38624,1,1,optimal
42913,2,1,optimal
42915,1,1,optimal
91109,7,4,optimal
91062,10,6,optimal
98342,6,4,optimal
58559,10,6,optimal
105466,11,6,optimal
75669,10,5,optimal
14717,2,1,optimal
50615,2,1,optimal
16701,2,1,optimal
50196,13,8,optimal
88027,1,1,optimal
63510,2,1,optimal
21883,2,1,optimal
113308,7,4,optimal
84335,1,1,optimal
49273,2,1,optimal
6458,2,1,optimal
85934,10,6,optimal
96218,10,7,optimal
53866,4,3,optimal
94085,11,6,optimal
109348,7,4,optimal
111000,10,5,optimal
112175,10,6,optimal
107827,13,7,optimal
99420,12,9,optimal
78822,7,3,optimal
67042,3,2,optimal
107720,9,6,optimal
99322,10,7,optimal
113087,7,5,optimal
81625,13,9,optimal
61818,10,5,optimal
88084,10,6,optimal
108651,14,8,optimal
88088,10,6,optimal
57939,12,7,optimal
67182,10,5,optimal
88465,11,6,optimal
76997,9,6,optimal
88045,3,2,optimal
25818,4,3,optimal
101943,9,6,optimal
91273,10,6,optimal
94601,4,2,optimal
85975,10,6,optimal
76507,2,1,optimal
84813,10,7,optimal
39172,14,11,optimal
111734,10,6,optimal
100076,13,8,optimal
93645,10,6,optimal
